w [t],x1,x2,x3,x4,x5
19.92482691,-1.22,-0.428,-1.692,0.988,1.86
19.96510356,-1.204,-0.388,-0.924,1.836,-0.644
19.97744231,-0.54,-1.18,-0.692,0.068,1.572
20.114635,-1.196,1.452,-1.82,-1.044,-1.436
20.12336226,-1.492,-1.212,-1.98,0.356,1.676
20.18202049,-0.644,1.884,-0.708,0.748,0.9
20.1911705,0.468,1.836,-0.092,-1.892,-1.052
20.19903198,-1.156,0.268,-1.876,0.764,-1.02
20.25169305,-1.26,-0.492,-1.9,-0.932,-1.54
20.28935641,-0.452,-0.188,-0.604,1.012,0.14
20.38605892,0.876,-1.38,0.5,-1.932,0.236
20.39856383,-1.508,0.9,-0.764,1.06,0.548
20.4219296,-0.244,-1.564,-0.492,-1.612,-1.42
20.43766136,-1.34,0.476,-0.804,-1.356,1.164
20.49408837,-1.7,1.372,-0.636,0.86,0.308
20.8169743,-1.332,0.532,-0.74,-0.172,1.148
20.8665382,0.332,0.588,-0.124,1.196,-0.604
20.8675943,-1.004,-0.484,-0.716,0.884,-1.3
20.90655605,-0.956,1.132,-0.7,-0.724,1.692
20.94742194,0.564,-1.98,0.092,-1.404,1.724
21.14612783,0.892,0.468,0.692,0.996,0.86
21.21762651,1.092,1.244,1.044,-0.492,-1.396
21.22643431,-1.668,1.396,-0.564,-0.284,0.068
21.28253602,-0.132,0.14,-0.356,-1.396,1.924
21.3123791,-0.556,0.884,-0.524,1.604,0.212
21.31992852,-0.628,0.556,-0.548,0.26,-1.86
21.37629213,-0.1,-1.948,-0.332,0.54,0.756
21.38662744,-1.356,-0.988,-0.652,-1.468,-1.668
21.39323246,-0.404,0.796,-0.46,-1.284,1.38
21.52203009,0.54,1.252,0.148,-0.884,0.34
21.55758588,0.78,0.82,0.548,1.252,-0.388
21.59098448,-0.812,1.332,-0.572,-1.34,-0.332
21.67175324,-0.308,-1.42,-0.396,1.332,-1.108
21.68371045,0.268,-1.124,-0.084,0.588,-1.804
21.74911764,0.1,1.42,-0.188,-0.484,-1.588
21.7539559,1.268,-0.804,1.612,-0.564,-0.988
21.75625017,-1.732,-0.46,-0.468,1.548,0.54
21.76855516,1.156,-1.82,1.236,-0.548,1.852
21.80542229,-0.26,-1.252,-0.364,-0.06,1.524
21.85302557,1.316,-0.108,1.964,1.036,-0.948
22.0498634,0.036,-1.428,-0.196,-1.436,-0.876
22.19794713,-1.852,-1.892,-0.324,1.26,1.388
22.21540248,-1.836,1.044,-0.34,0.94,-1.788
22.23012445,0.516,-1.74,0.228,-0.508,-1.884
22.28565591,0.684,-1.7,0.508,0.876,-1.644
22.29555203,0.932,0.156,0.932,0.212,1.9
22.31404028,-1.892,-1.764,-0.26,0.868,-1.268
22.3956749,1.148,0.388,1.316,1.308,-0.188
22.4607991,0.38,-0.02,0.1,-1.588,-1.132
22.50140839,-1.54,0.356,-0.484,1.108,1.476
22.68169109,0.508,0.444,0.292,-0.684,-0.74
22.86261121,1.204,-0.436,1.724,0.5,1.084
22.88974483,-0.052,-1.804,-0.164,0.372,-0.476
22.94713379,0.556,0.508,0.412,1.54,-0.244
23.00545688,0.428,0.58,0.236,0.052,-0.308
23.02577618,0.644,-0.828,0.58,0.1,1.14
23.10764559,0.924,0.164,1.028,1.652,0.044
23.12323729,-0.74,1.828,-0.404,1.556,-1.7
23.46816179,-0.988,0.324,-0.42,0.252,-0.636
23.52048087,-1.116,1.9,-0.428,-1.052,1.244
23.5399177,-0.66,-1.468,-0.348,0.508,-1.492
23.62163298,0.5,0.108,0.444,-1.148,-1.556
23.65900905,0.372,0.724,0.268,-1.316,0.396
23.67289177,0.364,-1.292,0.26,1.9,0.108
23.70069367,0.988,-1.78,1.204,-0.78,-1.564
23.74730748,-1.228,-1.276,-0.412,0.452,-0.788
24.12017966,-1.268,1.052,-0.38,1.172,-0.124
24.15463501,-1.084,-0.084,-0.372,0.22,1.964
24.252192,-1.956,-1.164,0.084,-0.324,-0.852
24.35659444,0.316,-1.964,0.308,1.092,0.452
24.6564513,1.004,0.668,1.372,-0.116,-0.796
24.9191427,-0.708,-1.028,-0.244,0.98,0.428
24.92629077,-1.884,1.724,-0.028,0.236,0.18
24.94397127,-1.676,1.148,-0.22,1.316,0.46
25.12990546,-1.42,0.1,-0.284,1.236,-0.436
25.23445965,-1.604,1.492,-0.228,1.636,-0.108
25.26720186,0.828,-1.996,1.156,1.404,1.508
25.29181225,-0.596,-1.66,-0.18,0.204,1.052
25.30428761,-1.372,-0.228,-0.276,-1.22,0.356
25.44234936,0.964,-0.116,1.42,-1.74,0.372
25.44881846,0.124,0.22,0.252,-1.172,-1.244
25.47979551,-0.548,-1.94,-0.148,1.74,0.924
25.48348303,0.804,-0.892,1.148,1.58,1.484
25.48955723,-0.772,1.604,-0.212,-0.38,1.308
25.53536939,-1.412,-0.076,-0.252,0.388,-1.26
25.63403836,1.012,-1.412,1.748,1.508,1.108
25.70341355,0.676,-0.772,1.004,0.268,1.812
25.73875632,0.628,0.892,0.948,-1.788,-1.764
25.74381831,1.06,1.34,1.988,-1.692,1.42
25.75501535,0.252,0.964,0.452,1.14,1.7
25.80084146,0.948,1.172,1.452,1.98,0.332
25.83686678,0.164,-1.908,0.356,-1.444,-0.812
25.89049343,1.052,0.78,1.996,-1.508,1.396
26.34420566,-1.484,-0.764,-0.172,-1.564,-0.268
26.5320146,-0.604,-0.78,-0.076,-0.644,-0.532
26.67335471,0.86,-1.476,1.396,1.804,1.988
26.77846414,0.172,-0.636,0.516,-1.988,-1.196
26.867739,0.42,1.196,0.836,0.172,0.524
26.88729786,-0.204,-1.708,0.156,-1.108,-1.532
26.90314502,0.604,-1.676,1.052,1.244,0.564
27.0029445,-0.836,-0.468,-0.1,0.084,-1.156
27.23170789,-1.044,0.98,-0.116,0.604,-0.612
27.43921332,0.06,1.484,0.484,-1.076,0.388
27.51760505,-1.964,1.228,0.62,1.668,-1.78
27.75296099,-0.14,0.836,0.324,-0.3,-1.5
27.77867584,0.26,-0.796,0.772,-1.956,-0.468
27.90550514,-0.636,1.444,0.036,-0.5,0.06
28.03064793,-0.484,0.676,0.116,-0.044,-0.484
28.09069425,-1.692,1.82,0.068,-1.132,-0.372
28.18655783,-0.764,-1.132,0.02,-1.86,1.284
28.18902297,-1.036,1.916,-0.036,0.42,0.244
28.26197801,0.244,-0.748,0.812,1.94,-0.02
28.2908936,0.116,-1.812,0.684,-1.908,1.644
28.40071578,0.852,-1.724,1.924,-0.676,1.34
28.40717483,-0.164,-0.868,0.396,-1.996,1.764
28.41613027,-0.756,0.684,0.044,0.036,-1.06
28.49827737,-1.148,1.028,-0.02,-1.764,-0.708
28.69991071,0.02,1.476,0.636,1.932,-1.612
28.78784368,-0.3,-1.844,0.332,-0.052,-0.348
28.86723196,0.764,-1.716,1.708,-0.252,-1.084
28.87833923,0.692,1.436,1.412,0.436,1.996
28.88430333,-1.012,0.868,0.028,0.972,1.828
28.9508121,0.7,0.652,1.444,0.804,1.652
29.01389628,-1.916,0.276,0.604,1.068,0.1
29.01989917,-0.948,0.18,0.052,0.644,1.628
29.06475346,0.788,1.644,1.876,0.628,-0.052
29.21472118,-0.42,0.204,0.3,-0.524,1.412
29.34387801,-0.036,-1.54,0.668,-1.924,0.228
29.53191162,-1.324,1.908,0.076,0.796,0.004
29.61411979,-1.628,-0.708,0.188,1.276,0.22
29.63708629,0.476,0.708,1.196,-0.572,0.612
29.7993088,-0.476,1.428,0.34,1.388,-0.7
29.8862568,-1.276,-0.148,0.108,0.46,0.404
29.91772139,-0.964,-1.436,0.14,1.42,-0.428
30.06379424,-0.028,0.34,0.764,1.988,1.972
30.09946112,0.34,0.596,1.1,1.164,1.076
30.11392547,0.668,-0.852,1.716,-1.748,-0.044
30.22046631,-0.236,-0.316,0.596,-0.868,-1.9
30.36697519,0.076,-1.916,0.884,-1.58,0.884
30.36910292,-1.9,-0.284,0.732,0.7,-1.276
30.56296082,-1.188,0.524,0.18,1.156,-1.292
30.59149511,-1.06,1.812,0.196,0.636,-1.596
30.72172971,-0.916,1.74,0.244,-0.628,-0.556
30.74599019,-1.308,-0.98,0.204,-1.876,-0.14
31.03562668,0.156,0.036,1.02,-0.812,-1.012
31.09751678,0.412,0.26,1.276,-1.62,0.124
31.25413516,-1.564,0.948,0.348,-0.66,-1.076
31.36007792,-1.14,0.492,0.276,-1.7,1.796
31.44242435,0.572,0.436,1.764,0.652,-1.748
31.49661015,-0.044,1.164,0.9,1.436,-1.548
31.53195707,0.62,1.5,1.94,-1.78,1.54
31.53300713,-0.188,1.004,0.796,1.7,0.444
31.54464268,-0.396,1.356,0.644,-1.628,1.98
31.69056138,-0.564,1.596,0.54,0.524,-1.044
